reference	hypA	nbrA	hypB	nbrB
renaud laure manaudou ne sait pas fait tatouer sur le corps un papillon un lézard ou un marsupilami	euh renault laure manaudou ne s' est pas fait tatouil sur le corps un papillon un lésard ou un marchu pidami	2	euh renault laure manaudou ne s' est pas fait tatouer sur le corps un papillon un l'hésart ou un marche pilami	5
il nous a semblé	assemblée	0	i nous a semblé	7
mais c' est vos	c' est beau	0	mais s'is vous	7
alors faut bien comprendre que tous les ans la la l' espagne renouvelle environ un septième de sa dette	alors euh faut bien comprendre que tous les ans euh l' e() la a l l' espagne renouvelle environ un septième de sa dette	2	alors euh faut bien comprendre que tous les ans euh l' e() la l() l' espagne renouvelle environ un septième de sa dette	5
ça elle l' a dit	ça elle l' a dit euh	7	l' a dit euh	0
activité très concurrencée par les allemands	activité très concurrenté évidemment par les allemands	7	activité très concurrente a vi dame par les allemands	0
ont fait la démonstration que ils avaient	fait la démonstration que ils avaient	1	ont fait la démonstration que euh ils avaient euh	6
csg pas csg tfv tva pas tva banque ou pas banque immobilier ou pas immobilier	c' est j' ai pas siégé tfv tva patitr vi banc en coupe à banque immobiliers ou pas immobilier	6	c' est j' ai passé j' ai t avais ti vai a petivan banou pas bon qu immobilie ou pas immobilier a	1
une séquence lcp filmée par mathilde terrier et julia le correc	une séquence elle est filmée par matyl de terrier julia le correck	3	une séquence elle s' est p filmée par mative de terrier et julia le correct	4
approche de paris vous êtes bien ralenti sur l' a12 entre guyancourt et rocancourt	proche de paris vous êtes bien ralenti sur la douze entreguilles en cours et au concours	1	proche de paris vous êtes bien ralenti sur la douze entre nuit en courts et rau cancourt	6
et qui a vraiment révolutionné la télévision	qui a vraiment révolutionné la télévision	7	quase es mat re o es ionne la télévision	0
il y avait pas ces soucis avant	est c' est le souci avant	6	' est pas c' est fa usi avant	1
ou si nous nions la réalité de la crise	si nous nions la réalité de la crise	6	si nous ne nions la réalité de la crise	1
et ils ont fait la prière allah en arabe	et ils ont fait la prière à là en arabe	7	et ils ont fait la prière à la un arabe	0
remède ici j' en ai entendu tout à l' heure quelques propositions	remède ici j' en ai entendu tout à l' heure quelques pro) propositions	7	rome a d' ici j' en ai entendu tout à l' heure quelques pro pre positions	0
mais franchement vous	un naufragoi	1	on es fragejumen	6
infléchi ou est ce qu' il a	infléchit ou est-ce qu' il a	1	infléchi ou est-ce qu' il a	6
bonsoir anna cabana	le canada	0	bonsoir anna kabada	7
alors est ce que c' est pas facteur de zizanie de discorde au sein d' un mouvement	est ce que c' est pas un facteur de zizanie de discorde au sein d' un mouvement	3	alors est-ce que c' est pas n facteur de zizanie de discorde au sein d' un mouvement	4
madame vers nous	madame bernau	7	madame ernaude	0
une place de la bastille pleine à craquer	une place de la bast pleine à craquer	3	une place de la bastille pleine accraquée	4
il faut surtout pas qu' on reste borné fermé accroché à un certain nombre de choses il faut faire évoluer	faut surtout pas qu' on reste borné fermer euh accrocher un certain nombre de choses il faut faire évoluer	4	il faut surtout pas qu' on reste e borné fermé euh accrocher un certain nombre de choses il faut faire évoluer	3
là nous baissons cela à cent mille euros c' est déjà quand même assez significatif cent mille euros	là nous baissons cela à cent milles euros ce qui est déjà quand même assez significatif cent milles euros	6	là nous baissons cela cent milles euros ce qui est déjà comme assez significatif cent mille euros	1
parle déjà à l' oreillette en me disant non pas plus allez y	parle déjà l' oriente en disant on n' en pas plus allez-y	0	parle déjà à l' horeillette en me disant non pas plus allez-y	7
on l' avait vu s' essayer au théâtre et au cinéma	l' avait vu s' essayer au théâtre et au cinéma	0	on l avait vu s' essayer au théâtre et au cinéma	7
je préviens le bourget pour leur dire qu' on risque de décoller en retard	je com bien le bourgé pour leur dire quoi on risque de décoller en pas	5	je ai conbien le bourger pour leur dire qu' on risque de décolér en tea	2
son gendre thierry rey son ex gendre	son gendrere tierrirait son ex-gendrere	4	son genre tirirait son ex-gendre	3
donc tout d' un coup il descendait de l' olympe si vous voulez voilà donc il descendait de l' olympe	donc euh tout d' un coup i(l) decendait de l' olympe est au tour e e e o o il e voila donc il decendait de l' olymp	6	donc euh tout d' un coup il descendait de l' ola s' est autour de e on po e qo e la donc il descendait de l' oli	1
et puis de toute façon roger moore qu' on se le dise il a quelque chose en plus	et puis toute façon roger mour qu' on se le dise il a quelque chose en plus	0	et puis de toute façon roger mour qu' on se le dise il a quelque chose en plus	7
moi je veux participer à la construction de cet avenir de l' ump	je veux participer à la construction de cet avenir de l' ump	3	moi je veux participer à la construction de cet avenir euh de l' ump	4
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer des incitations financières à ces pilote pour les faire travailler au sein de sa filiale transavia	2	la compagnie veut euh proposer des incitations financières à ces pilotes pour les faire travailler au sein de sa filiale transavia	5
eddy merckx de de tout temps on a eu des dominateurs dans le peloton des des grands champions	et dhi merx euh en de de tout temps on a eu des dominateurs dans le peloton des des grands champions	4	et dimerx euh en de de tous temps on a eu des dominateurs dans le peloton des des grands champions	3
si jean luc mélenchon n' est pas le le troisième homme dimanche est ce que ce sera une déception	jean luc mélenchon n' est pas le le troisième homme dimanche et que ce serait une déception	0	si jean-luc mélenchon euh n' est pas le le troisième homme dimanche est-ce que ce sera une déception	7
les années quatre vingt	années quatre	0	les années quatre-vingt	7
bérénice marlohe trente trois ans qui pour camper la bond girl a imaginé	bérénice marlo trente trois ans qui pour camper la bonde gueurre l' a imaginé	7	mérénice marlot trente trois ans qui pour campait la bonde gueur l' a imaginé	0
ça s' améliore	s' améliorent	3	ça c' est améliore	4
à buckingham palace au couple princier william et kate et ça sera un événement que vous pourrez suivre là aussi	un buc kigam palace au couple princier willam et kaït et ça sera un événement que vous pourrez suivre là aussi	2	un buckingham palace au couple princier william e ket et ça sera un événement ce que vous pourrez suivre là aussi	5
qui était fébrile peu sûr de lui	était fébrile peu sûr de lui	2	qui était fébrile peu sûrre de lui	5
bfm tv dix huit heures bonsoir rachid m' barki	bfm tv dix-huit heures bonsoir rachidne barki	2	bfm tv dix-huit heures bonsoir hachid n barki	5
la descente aux enfers dans la drogue ensuite pour l' homme delarue et puis nous serons en direct de nice	descente aux enfers la drogue ensuite pour l' homme de la rue et puis nous serons en direct de nice	2	la descente aux enfères dans la drogue ensuite pour euh l' homme de la rue et puis nous serons en direct de nice	5
on parle beaucoup aussi bien sûr de laure manaudou	parle beaucoup aussi bien sûr de laure manaudou	4	on parle beaucoup aussi bien sûr de l'aure manoudu	3
et ce qu' on a vu c' est que	est ce qu' on a vu c' est que	5	et euh ce qu' on a vu c' est que	2
pour la russie comme pour la france	ici	0	pour la russi comme pour l aurop	7
côté dites le	côté ditesle	0	côté dites-le	7
non mais parlons des recettes nouvelles que	mais parlons des recettes nouvelles que	1	euh non mais parlons des recettes nouvelles que	6
et donc le plus suivi médiatiquement	et donc le plus suivi on a di	3	' est dont le plus suivieu médiatir	4
et qu' il considère que	euh et euh qu' il considèère que	0	euh et qu' il considère que	7
ce à quoi l' assemblée nationale est invitée cet après midi c' est à dire	ce à quoi l' assemblée nationale est invitée cet après-midi c cet est-à-dire	0	ce à quoi l' assemblée nationale est invitée cet après-midi c' est-à-dire	7
attention objet on ne peut plus physique	attention aubjet on peu plus physique	2	attention objet un peu plus physique	5
du mandat de la banque centrale européenne à lui maintenant de dire quand comment	du mandat de la banque centrale européenne à lui euh maintenant de dire quand comment euh	7	du mondat de la banque centrale européenne à lui euh maintenant de dire quand comment euh	0
a totalement raison c' est que cet accord portera vraiment ses fruits en période de de	raison c' est que cet accord portera vraiment ses fruits en période de deux ans	6	non c' est que cet accord portera vraiment ses fruits en période de deux	1
et un méchant campé par javier bardem drôle et flippant à la fois	et un méchant campé par ravier bardel drôle et flippant à la fois	0	et un méchant campé par javièr bardem drôle et flipant à la fois	7
commis une percée énorme dans dans l' opinion publique	comme une percée énorme dans l' opinion	3	comme une percée énorme dans dans l' opinion	4
l' ensemble des forces qui consitue le front de gauche	euh l' ensemble des forces qui constitue le front de gauche	4	euh l' ensemble des forces qui constituent le front de gauche	3
faire du voyeurisme	voyeurisme	6	non du voyeurisme	1
des filles hystériques	filles hystériques	5	des files hystériques	2
à peine le débat commencé donc que déjà la première salve	a peine le débat commencé donc que déjà la première salve	6	à peine le débat a commencé donc que déjà la première salve	1
